"Source","Url","Bias","Quality"
"Alternet","https://www.alternet.org/2019/02/conservative-apologizes-for-ignoring-a-christian-right-wing-takeover-of-the-gop-which-led-to-trump/","-20.00","15.25"
"Alternet","https://www.alternet.org/2019/02/ex-lawyer-for-trump-official-explains-why-the-presidents-allies-should-be-concerned-if-theyre-breathing-easy-right-now-theyre-very-foolish/","-12.25","33.75"
"Alternet","https://www.alternet.org/2018/09/michael-moore-details-why-he-fears-trump-may-be-last-president-united-states/","-28.25","10.75"
"Alternet","https://www.alternet.org/2019/01/evangelical-christianity-facing-political-crisis-it-will-need-more-makeover/","-22.00","27.25"
"Alternet","https://www.alternet.org/2019/02/heres-how-much-time-michael-cohen-is-likely-to-spend-in-prison/","-15.75","33.25"
"Alternet","https://www.alternet.org/2019/03/trump-has-sold-out-the-farmers-that-voted-for-him-and-now-theyre-racing-toward-calamity/","-26.25","18.00"
"Alternet","https://www.alternet.org/2019/03/mueller-just-dropped-a-hint-that-his-team-could-be-working-on-something-big/","-15.75","21.50"
"Alternet","https://www.alternet.org/2019/03/this-needs-to-be-exposed-top-intel-democrat-reveals-how-the-kremlin-was-facilitating-a-cover-up-by-trump/","-27.00","24.25"
"Alternet","https://www.alternet.org/2019/04/now-trump-thinks-even-fox-news-is-biased-against-him/","-14.25","34.75"
"Alternet","https://www.alternet.org/2019/04/he-is-going-to-go-bonkers-former-prosecutor-reveals-how-trump-could-violate-the-law-if-he-overreacts-to-the-mueller-report/","-18.50","23.00"
"Alternet","https://www.alternet.org/2019/04/a-cognitive-scientist-explains-why-everyone-is-at-risk-of-falling-for-fake-news-and-how-to-resist-it/","-7.00","39.50"
"Alternet","https://www.alternet.org/2019/04/trump-lashes-out-at-the-bipartisan-lawmakers-who-condemned-his-support-for-the-war-in-yemen/","-13.50","31.25"
"American Spectator, The","https://spectator.org/college-scam-thats-not-the-half-of-it/","16.33","19.33"
"American Spectator, The","https://spectator.org/the-attack-on-tucker-carlson/","25.33","18.33"
"American Spectator, The","https://spectator.org/stephen-moore-and-herman-cain-are-just-what-the-fed-needs/","18.00","28.67"
"American Spectator, The","https://spectator.org/americas-left-and-the-confiscation-of-wealth/","23.00","30.00"
"American Spectator, The","https://spectator.org/the-dems-will-lose-the-house-in-2020/","24.50","20.25"
"American Spectator, The","https://spectator.org/massacres-in-new-zealand-and-nigeria/","4.75","33.50"
"American Spectator, The","https://spectator.org/rescue-border-towns-and-taxpayers-with-remain-in-mexico/","25.50","25.00"
"American Spectator, The","https://spectator.org/the-congresswoman-from-somalia/","28.25","15.75"
"American Spectator, The","https://spectator.org/the-day-of-reckoning-is-at-hand/","30.25","20.50"
"AP","https://apnews.com/872da8b73d8f4b35a41f6a904b9e55f3","0.67","56.67"
"AP","https://apnews.com/a78120075dd4447aa4ba5902a3816c68","-0.33","53.00"
"AP","https://apnews.com/42c976ea3fd24d3588522a8d5c1d5336","0.00","45.33"
"AP","https://apnews.com/15f5b291512e4a39a6c93ad9eb1a3ee9","5.33","57.33"
"AP","https://apnews.com/77281f9c37dc42b9bd1c3fe7fdb22ecf","-0.67","49.00"
"AP","https://apnews.com/07c68ddd6a304e7ca6b020c2b9deb052","-2.67","56.33"
"AP","https://apnews.com/3954f73614d5423e8ab7a43d1d466903","0.00","54.33"
"AP","https://apnews.com/a56660acd9b740658a83fba373cbfae1","-1.33","55.00"
"AP","https://apnews.com/acbff2fdaf6e48819ccbc4bcccea2180","0.00","53.67"
"AP","https://apnews.com/9904e6efcba64f7d8343df39e9faabdb","-1.00","49.33"
"AP","https://apnews.com/0fa9971e62114304a5e04358158bce8f","-8.00","39.25"
"AP","https://apnews.com/0b012aaaa6454a10a585eb4a848c8541","-3.50","50.25"
"AP","https://apnews.com/5047b6d203bb473ea3ca704ad630b898","4.75","57.75"
"AP","https://apnews.com/1e104c6b06b44e7bb395d71f9f0097ed","-5.25","55.25"
"AP","https://apnews.com/bde61170a3924143b3dc8113857c9f44","2.75","57.25"
"AP","https://apnews.com/b4c7e8aace4d45bca6d4b2f6b2ee0ac0","0.25","58.50"
"AP","https://apnews.com/eb8a8c21c22747358c7371f4f27edb16","-2.00","46.75"
"AP","https://apnews.com/27b092f5988441d1aa511cb95ede993e","0.50","56.75"
"AP","https://apnews.com/07cf471f57234d3a8e4d1a729cd0347d","0.50","51.50"
"AP","https://apnews.com/be67e1d962234d79b3f710a9cf1cc2e5","-2.25","46.25"
"AP","https://apnews.com/3db4594b78d147c984398c33e70078fe","0.00","57.50"
"AP","https://apnews.com/b9895c2a29924230b93a21d9b780047a","-1.25","46.25"
"AP","https://apnews.com/4341a37cfaab45d7ada6c4550fa7f279","-0.25","60.25"
"AP","https://apnews.com/879e975264c4440a910082bc1c3c2e9a","-8.50","49.50"
"AP","https://apnews.com/4f9b18c6ac0d4cd5a8c5ab85157ce190","3.75","49.75"
"AP","https://apnews.com/1349162488424730903deda7e7174758","0.00","55.75"
"AP","https://apnews.com/6d66f63a5f76410596387befc20ccdee","-0.50","59.75"
"AP","https://apnews.com/b38c2c2aacb347618d315c7a306d37fe","-2.25","52.00"
"AP","https://apnews.com/8e2f9fd7656b40e8b51401aa78cd5c10","-3.75","56.75"
"AP","https://apnews.com/ef67b87c9f1b426d9e34e774a396c7b3","-0.25","57.25"
"AP","https://apnews.com/334f04fa425a4befb4cd4968eb7afca3","-2.75","47.25"
"AP","https://apnews.com/bdc70648e5814d25b549d1c252910006","-11.50","47.25"
"AP","https://apnews.com/8eb58810be2642b3a2c81e9da247ff80","-0.25","52.50"
"AP","https://apnews.com/11e5d55d2ebd40b28e00e90e2239dcf0","0.00","49.75"
"AP","https://apnews.com/232c126bee2e462aa8787ac956f92c3f","0.00","56.00"
"AP","https://apnews.com/e9cc2e0e2ce84b7a82abbc23e50bcea1","0.00","49.50"
"AP","https://apnews.com/6473eb980f4c45f88312070a8d048fd4","0.00","49.00"
"AP","https://apnews.com/16973008a84042ecbf4081042b347c5c","-0.25","50.50"
"AP","https://apnews.com/c029ffd50b024029840217c3b3ffb298","0.00","48.50"
"AP","https://apnews.com/c30ad3ac085a479487a10374327f911c","-0.75","52.25"
"AP","https://apnews.com/b2787dedd34345f798b89201fb4d1972","-1.75","47.50"
"AP","https://apnews.com/bac297fe66c646529f1602c4efd4b8cf","-7.50","45.50"
"AP","https://apnews.com/2240962438a14649a0f2e85bc69ae93c","0.00","51.75"
"AP","https://apnews.com/f2501eed6cd84d41b203c4bd0ec96dac","2.50","48.75"
"AP","https://apnews.com/0d716756e76249d0b1e90e7e84c7603b","-1.25","53.25"
"AP","https://apnews.com/895b46cb1af74dca99af3a32faa3723b","-0.16","57.21"
"Axios","https://www.axios.com/christchurch-mosque-attack-lives-saved-553048916-6c6579b0-3abc-4649-9d29-70f2f40d4e3a.html","-3.00","48.33"
"Axios","https://www.axios.com/trump-vetoes-resolution-asking-end-us-involvement-yemen-56dce5b1-eac5-4198-b7b1-b3b1a1edb7cb.html","-7.00","45.67"
"Axios","https://www.axios.com/house-dems-open-investigation-trumps-alleged-pardon-offer-immigration-chief-729851e5-5227-461e-bca5-a69a36a9631a.html","-9.33","42.00"
"Axios","https://www.axios.com/immigration-unaccompanied-minors-sexual-assault-3222e230-29e1-430f-a361-d959c88c5d8c.html","-7.00","54.75"
"Axios","https://www.axios.com/mark-harris-north-carolina-house-seat-fraud-inquiry-5e1d5ab9-29cf-4689-8846-17157b2fe0c5.html","-2.25","49.00"
"Axios","https://www.axios.com/mcconnell-falsely-blames-democrats-nc-electoral-fraud-9a9867f6-39a1-4536-8d04-d44d4bd94cab.html","-10.00","33.50"
"Axios","https://www.axios.com/san-francisco-expunging-9300-marijuana-convictions--af6112ad-ce20-4b0f-804b-fca07d1652b6.html","-5.00","59.25"
"Axios","https://www.axios.com/kamala-harris-2020-presidential-election-factsheet-00a60a29-6560-4746-ab68-a4c508554a1f.html","-4.25","55.00"
"Axios","https://www.axios.com/world-health-organization-calls-strong-gene-editing-framework-e68c9e6b-9af5-4997-9439-7017abdc3492.html","-1.00","47.75"
"Axios","https://www.axios.com/climate-change-warm-cold-temperature-records-ratio-02f86e11-5d83-47d4-944b-5856745c1d2b.html","-11.00","36.75"
"Axios","https://www.axios.com/mike-pence-pledges-midwest-federal-aid-1553054817-85a40efd-748b-4da3-9164-1ae981b5931d.html","-1.00","54.00"
"Axios","https://www.axios.com/walmart-robot-workers-jobs-e43e9e5f-bfee-48e7-98ce-f2f775e757b5.html","-3.25","45.00"
"Axios","https://www.axios.com/main-streets-salon-boom-38356a25-d3dc-4bb3-a286-d541b20fab77.html","-7.00","44.25"
"Axios","https://www.axios.com/buttigieg-confronted-protestor-iowa-about-sexuality-127c1ddb-f31c-464f-bbcd-180c6c8a2267.html","-9.25","47.00"
"BBC","https://www.bbc.com/news/world-asia-47375920","0.00","48.00"
"BBC","https://www.bbc.com/news/world-us-canada-47961014","-0.67","48.00"
"BBC","https://www.bbc.com/news/world-us-canada-47952646","-5.00","47.33"
"BBC","https://www.bbc.com/news/world-africa-47961424","-1.33","49.67"
"BBC","https://www.bbc.com/news/world-us-canada-47377889","-11.75","41.75"
"BBC","https://www.bbc.com/news/world-asia-47366398","0.00","46.25"
"BBC","https://www.bbc.com/news/world-us-canada-47375079","-9.50","50.25"
"BBC","https://www.bbc.com/news/world-australia-47366083","0.00","45.75"
"BBC","https://www.bbc.com/news/world/us_and_canada","0.00","46.75"
"BBC","https://www.bbc.com/news/world-us-canada-47631272","0.00","38.25"
"BBC","https://www.bbc.com/news/av/world-us-canada-47633049/jair-bolsonaro-and-donald-trump-swap-football-shirts","-14.50","40.25"
"BBC","https://www.bbc.com/news/world-us-canada-47631269","-2.50","49.50"
"BBC","https://www.bbc.com/news/business-47633085","0.00","50.75"
"BBC","https://www.bbc.com/news/world-latin-america-47961425","0.00","45.25"
"BBC","https://www.bbc.com/news/world-us-canada-47958014","-0.25","46.25"
"Bipartisan Report","https://bipartisanreport.com/2019/02/27/w-h-horrified-after-robert-mueller-wins-court-battle-to-release-damning-evidence/","-28.67","14.00"
"Bipartisan Report","https://bipartisanreport.com/2019/03/19/fbi-suspected-cohen-was-a-spy-uncovered-suspicious-account/","-17.33","14.33"
"Bipartisan Report","https://bipartisanreport.com/2019/03/19/official-wh-report-from-2018-lists-batman-as-an-intern/","-14.00","28.67"
"Bipartisan Report","https://bipartisanreport.com/2019/04/16/trump-enters-full-panic-mode-in-front-of-reporters-outside-wh/","-26.33","19.00"
"Bipartisan Report","https://bipartisanreport.com/2019/02/27/trump-exposed-faking-net-wealth-to-get-on-forbes-richest-people-list/","-13.00","28.75"
"Bipartisan Report","https://bipartisanreport.com/2019/02/27/adam-schiff-appears-on-cnn-wednesday-to-troll-trump-during-cohen-hearing/","-29.75","22.00"
"Bipartisan Report","https://bipartisanreport.com/2019/02/27/black-congresswoman-steals-spotlight-at-cohen-hearing-exposes-gop-phony-racism/","-24.50","32.00"
"Bipartisan Report","https://bipartisanreport.com/2019/02/27/democrat-pauses-cohen-hearing-stares-down-gop-exposes-them-as-frauds/","-27.00","25.50"
"Bipartisan Report","https://bipartisanreport.com/2019/03/19/trumps-2020-gop-challenger-throws-down-the-gauntlet-on-twitter/","-21.75","24.75"
"Bipartisan Report","https://bipartisanreport.com/2019/03/19/vile-trump-supporter-humiliates-herself-with-un-american-rant/","-26.00","18.25"
"Bipartisan Report","https://bipartisanreport.com/2019/03/19/beto-makes-abortion-statement-that-has-gop-heads-bursting/","-23.25","23.25"
"Bipartisan Report","https://bipartisanreport.com/2019/04/16/nutjob-michele-bachmann-praises-trump-as-godly-and-biblical/","-29.75","18.00"
"Bipartisan Report","https://bipartisanreport.com/2019/04/16/federal-judge-scolds-ag-barr-for-disrupting-mueller-report-release/","-21.50","23.25"
"Bipartisan Report","https://bipartisanreport.com/2019/04/16/top-trump-official-suddenly-quits-white-house-position/","-22.75","21.50"
"Bipartisan Report","https://bipartisanreport.com/2019/02/27/trump-snaps-in-vietnam-tweets-random-gibberish-like-a-scared-old-man/","-27.68","15.68"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-02-26/maduro-s-masked-thugs-unleash-terror-along-the-venezuelan-border","-2.33","33.33"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-02-26/house-votes-to-block-trump-s-national-emergency-for-border-wall?srnd=politics-vp","-0.33","36.00"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-03-19/bayer-loses-first-phase-of-roundup-trial-now-to-face-liability?srnd=premium","4.67","49.67"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-03-19/trump-economic-advisers-don-t-view-high-oil-prices-as-all-bad?srnd=premium","2.33","49.67"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-04-16/health-stocks-take-28-billion-beating-in-medicare-for-all-fight?srnd=premium","5.67","36.33"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-04-17/u-s-investors-are-throwing-in-the-towel-on-international-stocks?srnd=premium","6.00","50.33"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-04-17/mortgage-investors-keep-a-wary-eye-on-surging-home-purchases?srnd=premium","0.33","56.00"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-04-17/hulu-netflix-may-face-subpoena-over-fyre-festival-documentaries?srnd=premium","0.00","52.33"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-04-17/former-president-of-peru-shoots-self-in-head-as-police-close-in?srnd=premium","0.00","55.00"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-02-24/spain-tops-italy-as-world-s-healthiest-nation-while-u-s-slips","-1.50","51.75"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-02-26/democrats-unveil-medicare-for-all-bill-favored-by-liberal-base?srnd=premium","-8.50","48.50"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-02-26/salt-cap-will-leave-nearly-10-9-million-people-feeling-tax-pain?srnd=premium","-3.25","52.75"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-02-26/trump-s-ex-fixer-cohen-to-be-grilled-by-congress-before-prison?srnd=premium","-2.75","50.75"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-02-26/cohen-and-mueller-overshadow-trump-s-diplomatic-travel-again?srnd=premium","-5.50","41.75"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-02-26/nyc-tunnel-closing-would-cut-home-values-20-billion-study-says?srnd=premium","-3.75","40.00"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-02-26/ibm-job-applicants-outraged-over-racially-insensitive-labels?srnd=premium","-3.25","53.75"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-03-19/how-an-extra-man-in-cockpit-saved-a-737-max-that-later-crashed?srnd=premium","0.00","51.25"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-03-19/may-is-stuck-in-fight-over-brexit-delay-with-10-days-to-exit-day?srnd=premium","0.00","51.50"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-03-19/biden-said-to-inform-supporters-he-plans-to-run-for-president?srnd=premium","-5.75","41.50"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-03-19/some-u-s-officials-said-to-see-china-walking-back-trade-pledges?srnd=premium","0.75","51.50"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-03-19/gates-joins-bezos-in-12-digit-club-as-the-only-centibillionaires?srnd=premium","-2.50","52.50"
"Bloomberg","https://www.bloomberg.com/opinion/articles/2019-03-19/fda-vaping-proposal-doesn-t-go-far-enough?srnd=premium","-10.00","30.00"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-03-19/trump-says-do-something-about-alleged-social-media-bias?srnd=premium","-1.50","50.75"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-03-19/supreme-court-backs-trump-administration-in-deportation-case","1.75","47.25"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-04-16/asia-stocks-set-for-mixed-open-ahead-of-china-data-markets-wrap?srnd=premium","0.25","48.00"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-04-17/insurer-rout-will-stop-well-before-election-goldman-says?srnd=premium","3.00","49.25"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-04-17/powell-adopts-whites-of-the-eyes-inflation-stance-yellen-shunned?srnd=premium","1.50","47.50"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-04-17/wells-fargo-s-dividend-yield-nears-decade-high-for-big-six-bank?srnd=premium","0.00","52.00"
"Bloomberg","https://www.bloomberg.com/news/articles/2019-04-17/in-the-yogurt-world-the-greeks-are-down-and-the-vikings-are-up?srnd=premium","0.00","47.25"
"Breitbart","https://www.breitbart.com/politics/2019/02/26/ice-woman-who-assaulted-maga-hat-man-was-u-s-illegally/","26.67","15.33"
"Breitbart","https://www.breitbart.com/politics/2019/03/19/jeff-landry-trumps-emergency-declaration-will-prevail-in-the-courts/","28.33","14.67"
"Breitbart","https://www.breitbart.com/politics/2019/04/16/attorney-general-barr-blocks-catch-and-release-by-migration-judges/","27.33","17.67"
"Breitbart","https://www.breitbart.com/politics/2019/02/26/house-democrats-pass-bill-nullifying-trump-national-emergency-with-less-than-veto-proof-majority/","19.25","36.25"
"Breitbart","https://www.breitbart.com/politics/2019/02/26/107-democrats-to-launch-medicare-for-all-bill-eliminates-private-health-insurance-no-plan-to-pay/","24.00","38.25"
"Breitbart","https://www.breitbart.com/clips/2019/02/26/mcconnell-i-havent-reached-a-total-conclusion-about-legality-of-trumps-emergency-declaration/","23.75","40.75"
"Breitbart","https://www.breitbart.com/politics/2019/02/26/kamala-harris-we-need-reparations-to-help-blacks-heal-from-trauma/","11.50","18.25"
"Breitbart","https://www.breitbart.com/politics/2019/03/19/romney-cant-understand-why-trump-would-disparage-heroic-honorable-mccain/","25.75","25.75"
"Breitbart","https://www.breitbart.com/politics/2019/03/19/report-joe-biden-begs-donors-for-boost-in-2020-campaign-cash/","7.00","35.50"
"Breitbart","https://www.breitbart.com/politics/2019/03/19/ssupreme-court-criminal-aliens-cannot-escape-detention-by-dodging-federal-agents/","16.00","44.25"
"Breitbart","https://www.breitbart.com/clips/2019/03/19/cnns-toobin-absurd-to-equate-rep-omars-silly-statement-to-trumps-racist-and-bigoted-tirades/","8.50","28.00"
"Breitbart","https://www.breitbart.com/politics/2019/04/16/pew-research-hispanics-to-outpace-black-americans-as-largest-voting-minority-in-2020/","17.00","32.50"
"Breitbart","https://www.breitbart.com/crime/2019/04/16/black-man-wearing-donald-trump-maga-hat-beaten-maryland/","14.00","41.75"
"Breitbart","https://www.breitbart.com/national-security/2019/04/16/dhs-confirms-fentanyl-viable-option-weapons-mass-destruction/","16.75","40.00"
"Business Insider","https://www.businessinsider.com/fox-news-hosts-say-alexandria-ocasio-cortez-wants-to-get-rid-of-kids-2019-2","5.33","37.00"
"Business Insider","https://www.businessinsider.com/kushner-family-company-put-tenants-in-danger-nyc-councilman-claims-2019-3","1.33","47.00"
"Business Insider","https://www.businessinsider.com/paul-vixie-dubious-facebook-mark-zuckerberrg-privacy-plan-2019-3","-2.00","35.00"
"Business Insider","https://www.businessinsider.com/tax-returns-show-2020-democratic-candidates-donated-little-to-charity-2019-4","-0.33","45.00"
"Business Insider","https://www.businessinsider.com/house-vote-national-emergency-termination-trump-border-wall-2019-2","-5.75","45.25"
"Business Insider","https://www.businessinsider.com/rep-matt-gaetz-michael-cohen-congressional-testimony-2019-2","0.75","49.50"
"Business Insider","https://www.businessinsider.com/how-jpmorgan-uses-credit-cards-to-win-customers-2019-2","4.25","51.25"
"Business Insider","https://www.businessinsider.com/michael-cohen-testifies-congress-lawmakers-to-watch-2019-2","0.50","37.75"
"Business Insider","https://www.businessinsider.com/lion-air-crash-off-duty-pilot-saved-boeing-737-max-2019-3","-0.50","49.25"
"Business Insider","https://www.businessinsider.com/the-us-could-be-guilty-of-war-crimes-in-somalia-report-says-2019-3","-3.75","40.75"
"Business Insider","https://www.businessinsider.com/ivanka-trump-jared-kushner-air-force-flights-poll-2019-3","-0.50","32.00"
"Business Insider","https://www.businessinsider.com/intel-quits-the-5g-smartphone-modem-business-2019-4","1.00","48.00"
"Business Insider","https://www.businessinsider.com/trump-veto-saudi-arabia-yemen-military-aid-jamal-khashoggi-2019-4","-6.50","41.25"
"Business Insider","https://www.businessinsider.com/trump-second-veto-yemen-resolution-bernie-sanders-2019-4","2.50","43.75"
"Business Insider","https://www.businessinsider.com/redacted-mueller-report-pulic-release-expectations-barr-trump-russia-2019-4","-2.00","46.50"
"BuzzFeed","https://www.buzzfeednews.com/article/emmaloop/matt-gaetz-michael-cohen-girlfriends-threat-congress","-11.00","45.67"
"BuzzFeed","https://www.buzzfeednews.com/article/paulmcleod/house-gun-control-bill-background-checks","-10.33","47.67"
"BuzzFeed","https://www.buzzfeednews.com/article/nicolenguyen/instagram-shopping-checkout?ref=bfnsplash&utm_term=4ldqpho","-5.67","49.33"
"BuzzFeed","https://www.buzzfeednews.com/article/zoetillman/trump-lawsuit-dc-hotel-profit-emoluments-justice-department","-14.00","37.67"
"BuzzFeed","https://www.buzzfeednews.com/article/adolfoflores/mexican-immigrant-dies-cbp-custody-el-paso-texas","-17.00","49.67"
"BuzzFeed","https://www.buzzfeednews.com/article/tanyachen/youtuber-influencer-danielle-cohn-implies-pregnant-married","-1.67","28.00"
"BuzzFeed","https://www.buzzfeednews.com/article/henrygomez/ohio-primary-2020-sherrod-brown","-5.75","31.75"
"BuzzFeed","https://www.buzzfeednews.com/article/henrygomez/joe-biden-2020-decision-family","-8.00","32.25"
"BuzzFeed","https://www.buzzfeednews.com/article/adolfoflores/thousands-of-migrant-children-have-alleged-sexual-abuse","-3.25","50.50"
"BuzzFeed","https://www.buzzfeednews.com/article/zoetillman/robert-mueller-appointment-valid-dc-circuit-ruling","-2.25","51.00"
"BuzzFeed","https://www.buzzfeednews.com/article/dominicholden/trump-transgender-military-ban-still-on-hold-judge","-0.75","47.00"
"BuzzFeed","https://www.buzzfeednews.com/article/danvergano/measles-outbreaks-new-normal","3.50","40.25"
"BuzzFeed","https://www.buzzfeednews.com/article/skbaer/notre-dame-fire-alarm-23-minutes","-2.00","56.00"
"BuzzFeed","https://www.buzzfeednews.com/article/salvadorhernandez/husband-us-soldier-killed-afghanistan?ref=bfnsplash&utm_term=4ldqpho","-9.75","42.25"
"BuzzFeed","https://www.buzzfeednews.com/article/tariniparti/democratic-donors-2020-candidates","-18.00","38.50"
